DATAFLOW_CODE,DATAFLOW_LEVEL,DATAFLOW_LEVEL_TYPE,IS_MAIN_DATAFLOW,IS_SECONDARY_DATAFLOW,MAIN_DATAFLOW_CODE,SECONDARY_DATAFLOW_CODE,PARENT_DATAFLOW_CODE,DATAFLOW_AGENCY,DATAFLOW_VERSION,DATAFLOW_NAME,DATAFLOW_DESCRIPTION,DATAFLOW_URN,DSD_URN,DSD_AGENCY,DSD_ID,DSD_VERSION
PPL_SI,2,SECONDARY,0,1,PPL,PPL_SI,PPL,ADB,1.0,"People, Social Indicators",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:PPL_SI(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG,1,MAIN,1,0,SDG,,,ADB,1.0,Sustainable Development Goals (SDGs),,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_01,2,SECONDARY,0,1,SDG,SDG_01,SDG,ADB,1.0,Goal 1 - No Poverty,"Eliminating extreme poverty is the first objective of the SDGs. To achieve this goal, economies must generate gainful employment opportunities for the poor and vulnerable and provide requisite social protection benefits to them.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_01(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_02,2,SECONDARY,0,1,SDG,SDG_02,SDG,ADB,1.0,Goal 2 - Zero Hunger,"Although significant progress has been made towards meeting food security and nutritional needs in Asia and the Pacific, hunger and malnutrition persist. Children below the age of 5 years are especially vulnerable to food insecurity and malnutrition. Solutions for ending hunger, reducing food insecurity, and eliminating malnutrition require widespread promotion of sustainable agriculture, increased investment in agriculture, and better access to food.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_02(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_03,2,SECONDARY,0,1,SDG,SDG_03,SDG,ADB,1.0,Goal 3 - Good health and well-being,"While everyone has the right to live healthily throughout their lifetime, providing adequate health care is a significant challenge. Monitoring SDG 3 will require high-quality, timely, and more disaggregated data on health indicators related to reproductive, maternal, and child health; HIV/AIDS; malaria; tuberculosis; and tropical, noncommunicable, and environmental diseases. Ensuring universal health coverage and access to safe, affordable, and effective medicines and vaccines would be a step forward in achieving the targets set for this goal.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_03(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_04,2,SECONDARY,0,1,SDG,SDG_04,SDG,ADB,1.0,Goal 4 - Quality Education,"SDG 4 emphasizes that, not only is education a human right, but quality education, relevant training, and opportunities for lifelong learning should be accessible to all. Achieving SDG 4 requires an improvement in the quality of education across the social spectrum, to ensure access to economic opportunities and better income prospects for all.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_04(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_05,2,SECONDARY,0,1,SDG,SDG_05,SDG,ADB,1.0,Goal 5 - Gender equality,"Gender equality is at the core of the SDGs and eliminating discrimination against women due to unfair social norms, general attitudes, and other factors requires women and girls to feel empowered.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_05(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_06,2,SECONDARY,0,1,SDG,SDG_06,SDG,ADB,1.0,Goal 6 - Clean water and sanitation,"Water supply, sanitation, and hygiene are interlinked with poverty, health, gender, environment, and governance. Improper management of water and sanitation services can put people at risk of contracting a wide range of preventable diseases. SDG 6 aims for universal access to safe water and sanitation as well as promoting adequate hygiene services.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_06(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_07,2,SECONDARY,0,1,SDG,SDG_07,SDG,ADB,1.0,Goal 7 - Affordable and clean energy,"The pursuit of SDG 7 is a path toward broader access to affordable and clean energy and improved use of renewable energy by 2030. This requires expanding access to electricity and clean cooking fuels, building sustainable infrastructure, and increasing the financial capacity and willingness of societies to embrace new technologies.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_07(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_08,2,SECONDARY,0,1,SDG,SDG_08,SDG,ADB,1.0,Goal 8 - Decent work and economic growth,"Economies aim for broad-based, inclusive, and sustainable economic growth to provide better prospects, welfare, and opportunities for their citizens. Providing access to better jobs is essential to ensure sustainable economic growth and development. It is the core objective of SDG 8. Sustaining high levels of economic growth, achieving full and productive employment, and ensuring decent work for all will be challenging if economies continue to deplete their natural resources and do not leverage technology.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_08(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_09,2,SECONDARY,0,1,SDG,SDG_09,SDG,ADB,1.0,"Goal 9 - Industry, Innovation, and Infrastructure","Amid the vastly changing landscape in manufacturing and trade brought about by technological innovations, SDG 9 seeks to strengthen supply chains and retrofit industries across economies. Investments in smart infrastructure and innovation are also needed to stimulate economic activity that ensures sustainable industrialization while achieving growth in wealth and productivity.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_09(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_10,2,SECONDARY,0,1,SDG,SDG_10,SDG,ADB,1.0,Goal 10 - Reduced inequality,"Across Asia and the Pacific, there remains unequal access to opportunities, public goods, and essential services among various groups. Inequality created by factors such as level of wealth, sex, residence, disability status, ethnicity, and migration status can create barriers to social mobility and economic growth. SDG 10 aims to provide more equitable access to opportunities, so that all people can be given a chance to participate in growth processes and fully realize their potential.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_10(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_11,2,SECONDARY,0,1,SDG,SDG_11,SDG,ADB,1.0,Goal 11 - Sustainable cities and communities,"Nearly half the population of Asia and the Pacific resides in urban areas. As cities continue to be engines of economic growth and offer opportunities for improved welfare, urban populations in the region are expected to overtake those of rural areas by 2022 (United Nations Department of Economic and Social Affairs 2018). SDG 11, which aims to ensure access to safe housing and affordable transport and to build resilience in cities for all, will only be achieved if urban planning and management efforts are scaled up. These efforts must address the need to convert informal settlements into sustainable and resilient living communities and to bring air-pollution levels to internationally acceptable standards.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_11(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_12,2,SECONDARY,0,1,SDG,SDG_12,SDG,ADB,1.0,Goal 12 - Responsible consumption and production,"Across the world, increased demands for food, water, energy, and other vital necessities are driven by population growth and rising urbanization. Meeting these demands has affected past and present patterns of consumption and production. SDG 12 aims to reduce the world’s ecological footprint by fostering sustainable ways to produce and consume goods, services, and resources. The efficient management of shared natural resources, and the reduction of toxic waste and pollutants throughout the entire production and consumption process, are critical to attaining sustainable development.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_12(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_13,2,SECONDARY,0,1,SDG,SDG_13,SDG,ADB,1.0,Goal 13 - Climate action,"The increasing frequency and intensity of extreme weather events, rising sea levels, and other volatile climatic variables are of global concern. Among other issues, the impacts of climate change can affect livelihoods, food production, energy security, and social cohesion. Consequently, economies have committed to actions to combat climate change. SDG 13 focuses on development that is sensitive to climate change and its impacts, especially for the most vulnerable in society.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_13(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_14,2,SECONDARY,0,1,SDG,SDG_14,SDG,ADB,1.0,Goal 14 - Life below water,"While seas and oceans cover nearly 70% of the planet’s surface and play a critical role in the provision of vital ecosystems, their deterioration has been a result of overexploitation, pollution, and the impacts of climate change. SDG 14 emphasizes the use and conservation of the ocean and its resources, including coastal areas. This entails directing human behavior toward sustainable practices and actions to preserve the pristine nature of our oceans, seas, and marine environments.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_14(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_15,2,SECONDARY,0,1,SDG,SDG_15,SDG,ADB,1.0,Goal 15 - Life on land,"Our lives, livelihoods, and continued sustenance hinge on the health of the earth’s terrestrial ecosystems. Human activity, however, can harm the planet’s delicately poised habitats and ecosystems. Vigorous efforts are required for promoting the sustainable use of forests, wetlands, drylands, and mountains. Economies of the world must work to reduce the losses of natural habitats and biodiversity, halt and reverse land degradation, halt desertification and revitalize desert areas, and reduce the threat of extinction to many plant and animal species. SDG 15 emphasizes the need for urgent action to improve the management of natural resources to ensure that future generations will continue to benefit from terrestrial and related ecosystems.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_15(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_16,2,SECONDARY,0,1,SDG,SDG_16,SDG,ADB,1.0,"Goal 16 - Peace, justice and strong institutions","SDG 16 aims to promote peaceful and inclusive societies by providing access to justice for all and building effective, transparent, and accountable institutions at all levels to uphold political stability, human rights, and the rule of law.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_16(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
SDG_17,2,SECONDARY,0,1,SDG,SDG_17,SDG,ADB,1.0,Goal 17 - Partnership for the goals,"Ensuring that the targets and goals for sustainable development are achieved requires effective partnerships, since the SDGs are more ambitious and larger in scope than their predecessors, the Millennium Development Goals (MDGs). SDG 17 aims to ensure that no one is left behind as economies of the world grow and prosper. It is important that governments, development agencies, and other stakeholders work cohesively towards finding creative solutions to finance better quality statistical data, increase transparency in monitoring and accountability, and leverage partnerships to support the most vulnerable communities, including those in least developed economies, landlocked developing economies, and small-island developing states.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:SDG_17(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
TC,1,MAIN,1,0,TC,,,ADB,1.0,Transport and Communication,"Transport and Communications features a discussion on air passenger traffic in Asia and the Pacific. Other data topics include container port traffic; road and rail networks; motor vehicle ownership, injuries, and fatalities; internet usage and penetration rates; mobile telephone subscriptions; and fixed telephone subscriptions.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:TC(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
TC_COM,2,SECONDARY,0,1,TC,TC_COM,TC,ADB,1.0,"Transport and Communication, Communications",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:TC_COM(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
TC_TR,2,SECONDARY,0,1,TC,TC_TR,TC,ADB,1.0,"Transport and Communication, Transport",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:TC_TR(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
