DSD_ID,DSD_AGENCY,DSD_VERSION,DSD_NAME,DSD_DESCRIPTION,DSD_URN,COMPONENT_TYPE,COMPONENT_ID,POSITION,MANDATORY,ASSIGNMENT_STATUS,ATTRIBUTE_RELATIONSHIP,CONCEPT_URN,CONCEPT_AGENCY,CONCEPT_SCHEME_ID,CONCEPT_SCHEME_VERSION,CONCEPT_ID,CODELIST_URN,CODELIST_AGENCY,CODELIST_ID,CODELIST_VERSION,CODELIST_TABLE_NAME,TEXT_TYPE
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),DIMENSION,FREQ,1,,,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=SDMX:CROSS_DOMAIN_CONCEPTS(2.0).FREQ,SDMX,CROSS_DOMAIN_CONCEPTS,2.0,FREQ,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=SDMX:CL_FREQ(2.0),SDMX,CL_FREQ,2.0,CL_FREQ,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),DIMENSION,INDICATOR,2,,,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_KIDB_CONCEPTS(1.0).INDICATOR,ADB,CS_KIDB_CONCEPTS,1.0,INDICATOR,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=ADB:CL_KIDB_INDICATORS(1.0),ADB,CL_KIDB_INDICATORS,1.0,CL_KIDB_INDICATORS,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),DIMENSION,ECONOMY_CODE,3,,,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).ECONOMY_CODE,ADB,CS_COMMON_CONCEPTS,1.0,ECONOMY_CODE,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=ADB:CL_ECONOMY_CODES(1.0),ADB,CL_ECONOMY_CODES,1.0,CL_ECONOMY_CODES,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),TIME_DIMENSION,TIME_PERIOD,4,,,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=SDMX:CROSS_DOMAIN_CONCEPTS(2.0).TIME_PERIOD,SDMX,CROSS_DOMAIN_CONCEPTS,2.0,TIME_PERIOD,,,,,,ObservationalTimePeriod
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,UNIT,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).UNIT,ADB,CS_COMMON_CONCEPTS,1.0,UNIT,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=ADB:CL_COMMON_UNITS(1.0),ADB,CL_COMMON_UNITS,1.0,CL_COMMON_UNITS,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,UNIT_MULT,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=SDMX:CROSS_DOMAIN_CONCEPTS(2.0).UNIT_MULT,SDMX,CROSS_DOMAIN_CONCEPTS,2.0,UNIT_MULT,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=SDMX:CL_UNIT_MULT(1.0),SDMX,CL_UNIT_MULT,1.0,CL_UNIT_MULT,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,DECIMALS,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=SDMX:CROSS_DOMAIN_CONCEPTS(2.0).DECIMALS,SDMX,CROSS_DOMAIN_CONCEPTS,2.0,DECIMALS,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=SDMX:CL_DECIMALS(1.0),SDMX,CL_DECIMALS,1.0,CL_DECIMALS,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,OBS_STATUS,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=SDMX:CROSS_DOMAIN_CONCEPTS(2.0).OBS_STATUS,SDMX,CROSS_DOMAIN_CONCEPTS,2.0,OBS_STATUS,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=SDMX:CL_OBS_STATUS(2.1),SDMX,CL_OBS_STATUS,2.1,CL_OBS_STATUS,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,REF_YEAR,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).REF_YEAR,ADB,CS_COMMON_CONCEPTS,1.0,REF_YEAR,,,,,,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,BASE_YEAR,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).BASE_YEAR,ADB,CS_COMMON_CONCEPTS,1.0,BASE_YEAR,,,,,,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,DATA_SOURCE,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).DATA_SOURCE,ADB,CS_COMMON_CONCEPTS,1.0,DATA_SOURCE,,,,,,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,METHODOLOGY,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).METHODOLOGY,ADB,CS_COMMON_CONCEPTS,1.0,METHODOLOGY,,,,,,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ATTRIBUTE,FOOTNOTE,,,,Observation,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).FOOTNOTE,ADB,CS_COMMON_CONCEPTS,1.0,FOOTNOTE,,,,,,
KIDB_DSD,ADB,1.0,KIDB DSD,Data Structure Definition for the KIDB datasets,urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),MEASURE,OBS_VALUE,,,,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=SDMX:CROSS_DOMAIN_CONCEPTS(2.0).OBS_VALUE,SDMX,CROSS_DOMAIN_CONCEPTS,2.0,OBS_VALUE,,,,,,
