ID,Full Name,Position,Division,Personal Webpage,Expertise List,Photo,About Me,Education,Publication
1,Abdul D. Abiad,Deputy Chief Economist,Office of the Chief Economist and Director General,https://sites.google.com/view/abdulabiad,Macroeconomics and monetary economics; Development economics; International economics,images/people/Abdul-D.-Abiad.webp,"Abdul Abiad is Deputy Chief Economist at the Asian Development Bank in Manila. He provides strategic guidance for ADB’s economic research and flagship reports. From 2000 to 2015, he was with the International Monetary Fund in Washington DC, where he worked on the World Economic Outlook. His research has focused on financial sector development, international financial integration, fiscal policy, monetary policy, exchange rates, trade, economic resilience, and infrastructure. A Philippine national, he has a BS in Mathematics from the University of the Philippines and a Ph.D. in Economics from the University of Pennsylvania","<p>Ph.D. in Economics, University of Pennsylvania, Philadelphia, USA</p><p>MA in Economics (coursework only), University of the Philippines-Diliman, Quezon City, Philippines</p><p>BS in Mathematics (magna cum laude), University of the Philippines-Diliman, Quezon City, Philippines</p>","<p>Abiad, Abdul, and I. Qureshi. 2023. “The Macroeconomic Effects of Oil Price Uncertainty.” <em>Energy Economics</em> 125: 106839.</p><p>Abiad, Abdul, M. A. Fay, R. Lavina, R. Platas, J. Pagaduan, and A. Sy. 2018. “The Evolution and Impact of Infrastructure in Middle-Income Countries: Anything Special?” <em>Emerging Markets Finance and Trade</em> 54: 1239–63.</p><p>Abiad, Abdul, D. Furceri, and P. Topalova. 2016. “The Macroeconomic Effects of Public Investment: Evidence from Advanced Economies.” <em>Journal of Macroeconomics</em> 50: 224–40.</p><p>Abiad, Abdul, J. Bluedorn, J. Guajardo, and P. Topalova. 2015. “The Rising Resilience of Emerging Market and Developing Economies.” <em>World Development</em> 72: 1–26.</p><p>Abiad, Abdul, P. Mishra, and P. Topalova. 2014. “How Does Trade Evolve in the Aftermath of Financial Crises?” <em>IMF Economic Review</em> 62(2): 213–47.</p><p>Abiad, Abdul, E. Detragiache, and T. Tressel. 2010. “A New Database of Financial Reforms.” <em>IMF Economic Review</em> 57(2): 281–302.</p><p>Abiad, Abdul, D. Leigh, and A. Mody. 2009. “Financial Integration, Capital Mobility, and Income Convergence.” <em>Economic Policy</em> 24(58): 241–305.</p><p>Abiad, Abdul, N. Oomes, and K. Ueda. 2008. “The Quality Effect: Does Financial Liberalization Improve the Allocation of Capital?” <em>Journal of Development Economics</em> 87(2): 270–82.</p><p>Abiad, Abdul, and A. Mody. 2005. “Financial Reform: What Shakes It? What Shapes It?” <em>American Economic Review</em> 95(1): 66–88.</p><p>Abiad, Abdul, E. Lavina, R. Platas, J. Pagaduan, and C. Jabaqat. 2020. “The Impact of COVID-19 on Developing Asia: The Pandemic Extends into 2021.” ADB Policy Brief No. 159. Manila: Asian Development Bank.</p>"
2,Albert F. Park,Chief Economist and Director General,Office of the Chief Economist and Director General,https://ph.linkedin.com/in/-albertpark,"Development economics; Labor and demographic economics; Health, education, and welfare",images/people/Albert-F.-Park.webp,"Albert F. Park is Chief Economist of the Asian Development Bank (ADB) and Director General of its Economic Research and Development Impact Department. He is chief spokesperson on economic and development trends and leads the production of ADB’s flagship knowledge products and support for regional cooperation fora.
Mr. Park has more than 2 decades of experience as a development economist and is a well-known expert on the economy of the People’s Republic of China. He has worked on a broad range of development issues including poverty and inequality, intergenerational mobility, microfinance, migration and labor markets, the future of work, and foreign investment.
Mr. Park is Chair Professor of Economics, Social Science, and Public Policy at HKUST (on leave). He served as a founding director of HKUST’s Institute for Emerging Market Studies and Center for Economic Policy, and previously held faculty positions at the University of Oxford and University of Michigan. A national of the United States, he received his bachelor’s degree in economics from Harvard University and his doctorate in applied economics from Stanford University.","<p>Ph.D., Applied Economics, Stanford University, United States </p><p>Bachelor, Economics, Harvard College, United States</p>","<p>Lewandowski, P., K. Madoń, and A. F. Park. 2026. “Workers' Exposure to Artificial Intelligence Across Development Stages.” <em>ADB Economics Working Paper No. 836</em>.</p>
 <p>Chen, J., R. Molato-Gayares, A. F. Park, and D. Tan. 2026. “Long-Term Outcomes of Multi-Context Childhood Poverty: Evidence from Long Panel Data from Indonesia.” <em>ADB Economics Working Paper No. 833</em>.</p>
 <p>Dela Cruz, N. A., A. J. Adona, R. Molato-Gayares, and A. F. Park. 2025. “<a href=""https://doi.org/10.1016/j.ijedudev.2025.103271"">Learning Loss and Recovery from the COVID-19 Pandemic: A Systematic Review of Evidence.</a>” <em>International Journal of Educational Development</em> 115: 103271.</p>
 <p>Butaeva, K. and A. F. Park. 2025. “Provincial-Level Income Inequality in the People's Republic of China: The Role of Human Capital.” <em>ADB Economics Working Paper No. 813</em>.</p>
 <p>Cai, S., A. F. Park, and S. Wang. 2025. “<a href=""https://doi.org/10.22617/WPS250409-2"">Microfinance Can Raise Incomes: Evidence from a Randomized Controlled Trial in the People's Republic of China.</a>” <em>ADB Economics Working Paper No. 812</em>.</p>
 <p>Butaeva, K., L. Chen, S. Durlauf, and A. F. Park. 2025. “A Tale of Two Transitions: Mobility Dynamics in the People's Republic of China and Russia After Central Planning.” <em>ADB Economics Working Paper No. 807</em>.</p>
 <p>Berkhout, E., S. Maulana, R. Molato-Gayares, A. F. Park, and D. Suryadarma. 2025. “<a href=""http://dx.doi.org/10.22617/WPS250115-2"">Lead Exposure and Cognitive Skills in a Developing Country: Evidence from Toxic Sites in Indonesia.</a>” <em>ADB Economics Working Paper No. 774</em>.</p>
 <p>Ichimura, H., X. Lei, C. Lee, J. Lee, A. Park and Y. Sawada 2024. “Wellbeing of Older Individuals in East Asia.” <em>The Japanese Economic Review</em> 75(4): 519-546.</p>
 <p>Maddawin, A., P. J. Morgan, A. F. Park, D. Suryadarma, T. Q. Long, and P. Vandenberg. 2024. “Learning Disruptions during the COVID-19 Pandemic: Evidence from Household Surveys in Southeast Asia.” <em>International Journal of Educational Development</em> 107: 103053</p>"
3,Arturo Jr M. Martinez,Senior Statistician,Data Division,https://development.asia/expert/arturo-martinez-jr,Statistics; Quantitative analysis; Data science,images/people/Arturo-Jr-M.-Martinez.webp,"Art Martinez, Jr. is a Senior Statistician at the Asian Development Bank, where he supports the Key Indicators for Asia and the Pacific, ADB’s main statistical publication. His research and publications focus on poverty measurement, social mobility, inequality of opportunity, SDG indicators, with a strong emphasis on innovative methods such as big data, satellite imagery, and geospatial analytics to improve statistical granularity and policy relevance in developing member countries.ember countries. Before joining ADB, Art was a Research Fellow at the University of Queensland’s Institute for Social Science Research, studying social and economic inequality and mobility using large-scale survey and administrative data. He holds a PhD in Social Statistics from the University of Queensland and an MS in Statistics from the University of the Philippines. He has published on multidimensional poverty, social mobility, inequality, application of big data, and survey sampling design.","<p>Doctor of Philosophy (Social Statistics), The University of Queensland, Australia</p><p>Master of Science (Statistics), University of the Philippines Diliman, Philippines</p><p>Bachelor of Science (Statistics, magna cum laude), University of the Philippines Diliman, Philippines</p>","<p>Thegeya, A., T. Mitterling, C. Njoroge, A. Martinez, Y. Iddawela, J. Bulan, R. Durante, O. Garonita, and J. Mag-Atas. 2026. “Evaluating the Effectiveness of Satellite Image Super-Resolution for Road Quality Monitoring.” <em>Scientific Reports</em>.</p><p>Hofer, M., T. Sako, J. Bulan, M. Addawe, R. Durante, and M. Martillan. 2025. “<a href=""https://doi.org/10.1111/asej.12349"">Exploring the Use of Satellite Imagery and Computer Vision-Based Machine Learning Method to Improve the Spatial Granularity of Poverty Statistics</a>.” <em>Asian Economic Journal</em> 39(1).</p><p>Fenz, K., A. Mitterling, J. Bulan, R. Durante, M. Martillan, M. Addawe, and I. Rotiner-Frasecky. 2023. “<a href=""https://doi.org/10.1142/S0116110524500021"">Compiling Granular Population Data Using Geospatial Information</a>.” <em>Asian Development Review</em> 41(1): 263–300.</p><p>Puttanapong, N., A. Martinez, J. Bulan, M. Addawe, R. Durante, and M. Martillan. 2022. “Predicting Poverty Using Geospatial Data in Thailand.” <em>International Journal of Geo-Information</em> 11(5): 293.</p><p>Joshi, K., A. Martinez, M. Addawe, C. Soco, and H. Swaminathan. 2022. “<a href=""https://doi.org/10.1080/00220388.2022.2029417"">Contextualizing Individual-Level Asset Data Collection: Evidence from Household Surveys</a>.” <em>Journal of Development Studies</em> 58(6): 1259–79.</p><p>Baffour, B., M. Haynes, H. Chandra, and A. Martinez. 2018. “<a href=""https://doi.org/10.1111/insr.12270"">Localised Estimates of Dynamics of Multidimensional Disadvantage: An Application of the Small Area Estimation Technique Using Australian Survey and Census Data</a>.” <em>International Statistical Review</em> 87(1): 1–23.</p><p>Martinez, A., and F. Perales. 2017. “<a href=""https://doi.org/10.1007/s11205-015-1185-1"">The Dynamics of Multidimensional Poverty in Contemporary Australia</a>.” <em>Social Indicators Research</em> 130: 479–96.</p><p>Leyso, N., A. Martinez, and I. Sebastian-Samaniego. 2017. “Economic Mobility in Urban Southeast Asia: The Case of the Philippines and Indonesia.” <em>The Philippine Statistician</em> 66(2).</p><p>Martinez, A., T. Rampino, M. Western, W. Tomaszewski, and J. Roque. 2017. “<a href=""https://doi.org/10.1111/1759-3441.12184"">Estimating the Contribution of Circumstances That Reflect Inequality of Opportunities</a>.” <em>Economic Papers</em> 36(4): 380–400.</p><p>Baffour, B., M. Haynes, M. Western, D. Pennay, S. Misson, and A. Martinez. 2016. “<a href=""https://doi.org/10.1515/jos-2016-0029"">Weighting Strategies for Combining Data from Dual Frame Telephone Surveys: Emerging Evidence from Australia</a>.” <em>Journal of Official Statistics</em> 32(3): 549–78.</p>"
4,Daniel Suryadarma,Senior Economist,Economic Analysis and Operational Support Division,https://sites.google.com/view/dsuryadarma,"Health, education, and welfare; Labor and demographic economics; Quantitative analysis",images/people/Daniel-Suryadarma.webp,"Daniel conducts applied economics research in human development, poverty, and social policy in low- and middle-income countries. He has published nearly 40 research articles in economics journals, including the American Economic Journal: Applied Economics and Journal of Development Economics. Daniel is a co-editor of Economics of Education Review and an associate editor of Asian Development Review. He has advised the Indonesian Ministries of Economic Affairs, Education, Finance, and Health. He is involved in research partnerships with the governments of the Philippines, Bhutan, and Cambodia. Daniel has a doctorate in economics from the Australian National University.","<p>PhD Economics, Australian National University</p><p>MA Economics, University of Toronto</p><p>BA (Specialist) Economics, Brandon University, Canada</p>","<p>Suryadarma, Daniel, Yixin Sun, Jeanne Sorin Le Guével, Dil Rahut, and Budy Resosudarmo. 2025. “High Indoor Air Pollution in a Developing Megacity: The Role of Outdoor PM2.5 and Household Characteristics.” <em>ADBI Working Paper</em> 1510.</p><p>Suryadarma, Daniel, Emilie Berkhout, Rhea Molato-Gayares, Sandy Maulana, and Albert Park. 2025. “Lead Exposure and Cognitive Skills in a Developing Country: Evidence from Toxic Sites in Indonesia.” <em>ADB Economics Working Paper</em> 774.</p><p>Suryadarma, Daniel, Hiroshi Maeda, and Ryan Edwards. 2024. “Remittances from Tongan Migrant Workers: Channels, Costs, and Potential Gains from Switching.” <em>ADBI Working Paper</em> 1427.</p><p>Suryadarma, Daniel, Takiko Igarashi, and Pooja Yadav. 2023. “Linguistic Diversity, School Language of Instruction Policy, and Learning Outcomes across Asia and the Pacific.” <em>ADBI Working Paper</em> 1388.</p><p>Suryadarma, Daniel, Asri Yusrina, Luhur Bima, and Emilie Berkhout. 2022. “Selecting Teachers in Indonesia: Predicting Teacher Performance Using Pre-Employment Information.” <em>RISE Working Paper</em> 22/098.</p><p>Suryadarma, Daniel, Emilie Berkhout, Goldy Dharmawan, Amanda Beatty, and Menno Pradhan. 2022. “Who Benefits and Loses from Large Changes to Student Composition? Assessing Impacts of Lowering School Admissions Standards in Indonesia.” <em>RISE Working Paper</em> 22/094.</p><p>Suryadarma, Daniel, Niken Kusumawardhani, Luca Tiberti, and Veto Tyas Indrio. 2019. “What Skills Lead to Entrepreneurial Success? Evidence from Non-Farm Household Enterprises in Indonesia.” <em>PEP Working Paper</em> 2019-14.</p><p>Suryadarma, Daniel, and Trang Thun Vu. 2026. “What Happens to the Learning Outcomes of Left-Behind Children When Parents Are Away? Evidence from Four Pacific Island Countries.” <em>Asia and the Pacific Policy Studies</em> 13(1): e70057.</p><p>Suryadarma, Daniel, Mayang Rizky, and Asep Suryahadi. 2025. “Effect of Growing Up Poor on Labor Market Outcomes: Evidence from Indonesia.” <em>Journal of International Development</em> 37(4): 938–950.</p><p>Suryadarma, Daniel, Takiko Igarashi, and Sandy Maulana. 2024. “Mother Tongue-Based Education in a Diverse Society and the Acquisition of Foundational Skills: Evidence from the Philippines.” <em>Labour Economics</em> 91: 102641.</p>"
5,Ed Kieran C. Reyes,Associate Economics Officer (Data Management),Macroeconomics Research Division,https://ph.linkedin.com/in/ed-kieran-reyes-a40742142,Data science; Statistics; Quantitative analysis,images/people/Ed-Kieran-C.-Reyes.webp,"Ed's work centers on macroeconomic surveillance and analysis, with emphasis on data science and statistical methodologies. Previously, he was a consultant in ADB’s Data Division, where he focused on big data analysis to support development research. He holds a bachelor's degree in statistics and a master's degree in development economics, both from the University of the Philippines.",,
6,Jaqueson K. Galimberti,Senior Economist,Macroeconomics Research Division,https://sites.google.com/site/jkgeconoeng/,Macroeconomics and monetary economics; Quantitative analysis; Statistics,images/people/Jaqueson-K.-Galimberti.webp,"Jaqueson Galimberti is a Senior Economist at the Economic Research and Development Impact Department at the Asian Development Bank. Prior to joining ADB, Jaqueson worked as a Senior Economic Analyst at the Reserve Bank of New Zealand and as an Associate Professor at Auckland University of Technology. He obtained his PhD in Economics from the University of Manchester and worked as a postdoctoral researcher at ETH Zurich. His research is about macroeconomics with a focus on modeling, measurement, and forecasting. He has a track record of publications in peer-reviewed academic journals in macroeconomics and computational economics.",,
7,Jeffrey B. Napoles,Associate Statistics Officer,Data Division,,Statistics; Development economics,images/people/Jeffrey-B.-Napoles.webp,"Jeffrey B. Napoles is an Associate Statistics Officer at the Asian Development Bank (ADB), where he develops and maintains statistical database systems, builds internal automation tools, and contributes to flagship data publications. Prior to his current role, he served as a Consultant at ADB — leading cloud migration of enterprise databases, designing data visualization dashboards, and supporting international data standardization initiatives across the Asia-Pacific region.",,
8,John Beirne,Principal Economist,Macroeconomics Research Division,https://scholar.google.com/citations?user=tDjmtugAAAAJ&hl=en,International economics; Macroeconomics and monetary economics; Financial economics,images/people/John-Beirne.webp,"John Beirne is a Principal Economist at the Asian Development Bank (ADB) in the Philippines. Previously, he was Vice-Chair of Research and a Senior Fellow at the ADB Institute in Japan, and before that, a Senior Economist at the European Central Bank in Germany. Earlier in his career, he worked in academia and the private sector in the United Kingdom and Ireland. John’s research and policy work focuses on exchange rates, commodities, financial crisis and contagion, fiscal policy, and monetary policy transmission. He has published widely in journals and holds a PhD in Economics from Brunel University of London.",,
9,Jong Woo Kang,Director,Regional Cooperation and Integration Division,https://www.linkedin.com/in/jong-woo-kang-b43a1040/,International economics; Macroeconomics and monetary economics; Environmental and ecological economics,images/people/Jong-Woo-Kang.webp,"Jong Woo Kang is Director of Regional Cooperation and Integration Division. As director, he plays a role as an interface between ADB’s internal and external stakeholders on regional cooperation and integration. He was Principal Economist at ERDI, Senior Advisor to the Managing Director General of ADB and Senior Economist at Strategy and Policy Department. He leads the annual publication of Asian Economic Integration Report. Areas of his research interest include regional integration, inclusive growth, macroeconomic policies, international trade and finance, and aid effectiveness. Before joining ADB, he was director at Ministry of Finance and Economy of Korea until 2006.","<p>Ph.D., Economics, University of Washington, , </p><p>M.A., Public Administration, Seoul National University, , </p><p>B.S., Economics, Seoul National University, , </p>","<p>Kang, Jong Woo, and Joshua Gapay. 2024. “Indirect Channel of Trade Agreements in Deepening Global Value Chains.” <em>The World Economy</em> 47(8): 3511–3550.</p><p>Kang, Jong Woo, Mara Tayag, and Dominique Sy. 2023. “Consumption Response to Government Income Subsidies: Korea’s Case.” <em>Journal of Asian and African Studies</em> 58(6): 941–974.</p><p>Kang, Jong Woo, Tengfei Wang, and Vince Valentine. 2020. “A Holistic Analysis of National E-Commerce and Logistics Development.” <em>Maritime Economics & Logistics</em> 22: 500–513.</p><p>Kang, Jong Woo, and Dorothea Ramizo. 2020. “Impact of Antidumping Measures on International Trade: Growing South–South Tensions?” <em>The Journal of International Trade and Economic Development</em> 29(3): 334–352.</p><p>Kang, Jong Woo, and Suzette Dagli. 2018. “Tariff Barrier and Industrial Spillover Effect.” <em>Journal of Korea Trade</em> 22(3): 228–246.</p><p>Kang, Jong Woo, and Dorothea Ramizo. 2017. “Impact of Sanitary and Phytosanitary Measures and Technical Barriers on International Trade.” <em>Journal of World Trade</em>, no. 4: 539–573.</p><p>Kang, Jong Woo, and Theo Eicher. 2005. “Trade, Foreign Direct Investment or Acquisition: Optimal Entry Modes for Multinationals.” <em>Journal of Development Economics</em> 77: 207–228.</p><p>Kang, Jong Woo, and Lovely Tolin. 2025. “Effective Mechanisms for Raising Tax Revenues.” ADB Economics Working Paper Series no. 790.</p><p>Kang, Jong Woo, and Carlos Cabareero. 2025. “Dynamic Impact of Foreign Exchange Trading Volume on Foreign Exchange Volatility.” ADB Economics Working Paper Series no. 768.</p><p>Kang, Jong Woo, Manuel Leonard Albis, and Mara Claire Tayag. 2024. “Estimating Regional Integration Using the Bayesian State-Space Approach.” ADB Economics Working Paper Series no. 712.</p>"
10,Joseph Albert Nino M. Bulan,Associate Statistics Officer,Data Division,,Statistics; Development economics,images/people/Joseph-Albert-Nino-M.-Bulan.webp,"Seph Bulan is a development statistician with over a decade of expertise in poverty measurement, small area estimation, and strengthening statistical capacity of various stakeholders. Proficient in quantitative research, project management, and engaging stakeholder collaboration. Other research interests include geospatial analytics, machine learning applications, Sustainable Development Goals (SDGs), labor and employment trends, and gender statistics.","<p>Bachelor of Science in Statistics, University of the Philippines, Los Baños, Philippines.</p><p>Masters of Science in Statistics, University of the Philippines, Diliman, Philippines.</p>",0
11,Kalyani Raghunathan,Senior Economist (Development Impact),Economic Analysis and Operational Support Division,https://sites.google.com/view/kalyani-raghunathan/home; https://scholar.google.com/citations?user=cv4DOugAAAAJ&hl=en; ; https://ph.linkedin.com/in/kalyani-raghunathan-28a122338; https://www.researchgate.net/profile/Kalyani-Raghunathan,"Quantitative analysis; Health, education, and welfare; Agricultural and natural resource economics",images/people/Kalyani-Raghunathan-copy.webp,"Kalyani joined EREA as Senior Economist (Development Impact) in April 2026. Prior to joining ADB, she was Research Fellow at the International Food Policy Research Institute (IFPRI), where she worked on projects in India, Bangladesh, Nepal, Guatemala, Uganda, Rwanda, Kenya, Nigeria, and Ethiopia. She is interested in agriculture, gender, health and nutrition, and social protection, with several papers on the cost and affordability of healthy diets and on the impacts of women’s self-help groups. Her work has been published in Food Policy, World Development, Journal of Development Studies, and Agricultural Economics. She holds a PhD in Economics from Cornell University.","<p>Ph.D., Economics, Cornell University, Ithaca, NY, </p><p>M.A., Economics, Indian Statistical Institute, New Delhi, India</p><p>B.A., Economics, St. Stephen’s College, Delhi University, , India</p>","<p>Raghunathan, K., M. Mahmoud, G. Ramani, J. Heckert, and G. Seymour. 2025. “Do Estimates of Women’s Control over Income and Decision-Making Vary across Nationally Representative Survey Programs?” <em>Social Indicators Research</em>.</p><p>Kumar, N., K. Raghunathan, A. Quisumbing, S. Scott, P. Menon, G. Thai, S. Gupta, C. Nichols, and WINGS Study Team. 2024. “<a href=""https://doi.org/10.1016/j.foodpol.2024.102716"">Women Improving Nutrition through Self-Help Groups in India: Does Nutrition Information Help?</a>” <em>Food Policy</em> 128: 102716.</p><p>Narayanan, S., K. Raghunathan, and A. Christopher. 2024. “Beyond the Consumer Food Price Index.” <em>Economic and Political Weekly</em> 59(32).</p><p>Raghunathan, K. 2024. “Andaleeb Rahman and Prabhu Pingali: The Future of India’s Social Safety Nets: Focus, Form, and Scope.” <em>Indian Economic Review</em>.</p><p>Quisumbing, A., R. Meinzen-Dick, G. Seymour, J. Heckert, E. Myers, and GAAP2 for the WEAI Study Team. 2024. “Enhancing Agency and Empowerment in Agricultural Development Projects: A Synthesis of Mixed Methods Impact Evaluations from the Gender, Agriculture, and Assets Project, Phase 2 (GAAP2).” <em>Journal of Rural Studies</em> 108: 103295.</p><p>Headey, D., K. Hirvonen, H. Alderman, S. De Pee, and K. Raghunathan. 2024. “Diet Affordability: Understanding the High Cost of Healthy Diets.” In <em>2024 Global Food Policy Report: Food Systems for Healthy Diets and Nutrition</em>. International Food Policy Research Institute.</p><p>Headey, D., F. N. Bachewe, Q. Marshall, K. Raghunathan, and K. Mahrt. 2024. “Food Prices and the Wages of the Poor: A Low-Cost, High-Value Approach to High-Frequency Food Security Monitoring.” <em>Food Policy</em> 125: 102630.</p><p>Chowdhury, S., Md. N. B. Khaled, D. Mallick, K. Raghunathan, and S. Rashid. 2024. “Resilience of Social Transfer Programs to Large Unexpected Shocks.” <em>Journal of Development Studies</em> 60(5): 788–805.</p><p>Quisumbing, A., J. Heckert, H. Malapit, R. Meinzen-Dick, K. Raghunathan, G. Seymour, S. Faas, and E. Myers. 2023. “Gender and Food Systems: Avenues for Transformation?” In <em>African Food Systems Transformation and the Post‑Malabo Agenda: ReSAKSS 2023 Annual Trends and Outlook Report</em>, edited by J. M. Ulimwengu, E. M. Kwofe, and E. M. Collins. Washington, DC: AKADEMIYA2063 and International Food Policy Research Institute.</p><p>Narayanan, S., K. Raghunathan, S. Rashid, and A. Winter‑Nelson. 2023. “Lessons from a Time of Upheaval: COVID‑19 in South Asia.” <em>Applied Economic Perspectives and Policy</em> 45(4): 2078–2093.</p>"
