ID,Full Name,Position,Division,Personal Webpage,Expertise List,Photo,About Me,Education,Publication
12,Katariina Nilsson Hakkala,Senior Economist,Regional Cooperation and Integration Division,https://sites.google.com/view/katariina-nilsson-hakkala/home?authuser=0,Development economics; International economics; Quantitative analysis,images/people/Katariina-Nilsson-Hakkala.webp,"Katariina Nilsson Hakkala is Senior Economist with over 25 years in economic research. She specializes in international and financial economics, including export competition, global value chains, FDI, governance, law reform, and financial sector development, and leads the private sector research priority group of ERDI. Dr. Nilsson Hakkala has taught at graduate and undergraduate levels and advised governments and international organizations. Her work appears in top journals such as the Review of Economics and Statistics, Economic Journal, European Economic Review, Economica, the Canadian Journal of Economics, the Review of World Economics. She earned her Ph.D. from the Stockholm School of Economics.","<p>PhD (Ek Dr), Economics, Stockholm School of Economics (Handelshögskolan i Stockholm), Sweden.</p><p>Master of Economic Sciences (including bachelor’s degree), Economics (Ek Mag), Lund University School of Economics and Management, Sweden.</p>","<p>Nilsson Hakkala, Katariina, A. Ariu, B. J. Jensen, and S. Tamminen. 2026. “Service Imports, Workforce Composition, and Firm Performance: Evidence from Finnish Microdata.” NBER Working Paper 26355. Conditionally accepted to <em>European Economic Review</em>.</p><p>Nilsson Hakkala, Katariina, T. Maczulskij, and Z. El-Sahli. 2026. “Firm-Level Responses to Export Demand Shocks: Swedish and Finnish Exporters.” <em>Economica</em>, online before print.</p><p>Nilsson Hakkala, Katariina, and Y. Pan. 2024. “Emerging Trade Battlefield with China: Export Competition and Coping Strategies of Finnish Firms.” <em>Economica</em> 91(364): 1454–1481.</p><p>Nilsson Hakkala, Katariina, and A. Sembenelli. 2018. “Multinationals, Competition and Productivity Spillovers through Worker Mobility.” <em>Review of World Economics</em> 154(2): 401–426.</p><p>Nilsson Hakkala, Katariina, F. Heyman, and F. Sjöholm. 2014. “Multinational Firms and Job Tasks.” <em>European Economic Review</em> 66: 248–265.</p><p>Nilsson Hakkala, Katariina, O. Bertrand, P.-J. Norbäck, and L. Persson. 2012. “Should Countries Block Foreign Takeovers of R&D Champions and Promote Greenfield Entry?” <em>Canadian Journal of Economics</em> 45(3).</p><p>Nilsson Hakkala, Katariina, F. Heyman, and F. Sjöholm. 2010. “Cross-Border Acquisitions, Multinationals and Wage Elasticities.” <em>Review of World Economics</em> 146: 263–280.</p><p>Nilsson Hakkala, Katariina, P.-J. Norbäck, and H. Svaleryd. 2008. “Asymmetric Effects of Corruption on FDI: Evidence from Swedish Firms.” <em>Review of Economics and Statistics</em> 90(4): 627–642.</p><p>Hakkala, Katariina, and K. Ekholm. 2007. “Location of R&D and High-Tech Production by Vertically Integrated Multinationals.” <em>Economic Journal</em> 117: 512–543.</p><p>Hakkala, Katariina. 2006. “Corporate Restructuring and Labor Productivity Growth.” <em>Industrial and Corporate Change</em> 15(4): 683–714.</p>"
13,Kosintr Puongsophol,Principal Economist,Regional Cooperation and Integration Division,https://www.linkedin.com/in/kosintr-puongsophol/,Financial economics,images/people/Kosintr-Puongsophol.webp,"Kosintr (Pok) Puongsophol is a Senior Financial Sector Specialist at the Asian Development Bank, specializing in local currency bond market development and sustainable finance across ASEAN+3. He leads ADB’s Green, Social, Sustainable, and Other Labeled (GSS+) Bonds Initiative, a strategic initiative under the ASEAN+3 Asian Bond Markets Initiative and the ASEAN Catalytic Green Finance Facility, with a strong focus on catalyzing innovative GSS+ transactions and strengthening the sustainable finance ecosystem in Southeast Asia. He has worked with over 20 issuers to mobilize more than $15 billion in local currency sustainable finance transactions.",,
14,Mahinthan J. Mariasingham,Principal Statistician,Data Division,https://www.linkedin.com/in/joseph-mariasingham-21659b13b/,Statistics; Quantitative analysis; Development economics,images/people/Mahinthan-J.-Mariasingham.webp,"Experienced professional dedicated to international development through evidence based policy making at the global and local levels, with portfolio of projects covering several ADB member countries. Collaborates effectively with national governments and international organizations to develop statistical and analytical capacities in countries in Asia and the Pacific. Equips and enables policy makers through high quality data to study their respective economies and their interconnections to global production networks. Leads multi-country, multi-functional teams in modernizing statistical infrastructures. Facilitates the use of advanced technologies and innovative data in official statistics. Specialized in transforming diverse and multi sourced data into actionable economic information.",,
15,Matteo Lanzafame,Director,Macroeconomics Research Division,https://sites.google.com/site/matteolanzafamesite/Home,International economics; Development economics; Macroeconomics and monetary economics,images/people/Matteo-Lanzafame.webp,"Dr Matteo Lanzafame is Director of the Macroeconomics Research Division, in the Economic Research and Development Impact Department of the Asian Development Bank (ADB). He is a macroeconomist and conducts research in many areas, with a particular focus on growth and development issues. He leads the team that produces ADB's Asian Development Outlook and conducts macroeconomic surveillance and monitoring. Prior to joining ADB in 2019, Matteo was Associate Professor of Political Economy at the University of Messina, in Italy. He holds an MA in Development Economics and a PhD in Economics from the University of Kent, in the UK.","<p>PhD in Economics, University of Kent, UK</p><p>MA in Development Economics, University of Kent, UK</p><p>Laurea (BSc) in Political Sciences, University of Messina, Italy</p>","<p>Lanzafame, Matteo, and A. F. Gravina. 2025. “What’s Your Shape? A Data-Driven Approach to Estimating the Environmental Kuznets Curve.” <em>Energy Economics</em> 148: 108649.</p><p>Lanzafame, Matteo, and A. F. Gravina. 2024. “Demography, Growth, and Robots in Advanced and Emerging Economies.” <em>Asian Development Review</em> 41: 1–26.</p><p>Lanzafame, Matteo, G. Estrada, and J. Felipe. 2022. “The Turnaround in Philippine Growth: From Disappointment to Promising Success.” <em>Structural Change and Economic Dynamics</em> 62: 327–342.</p><p>Lanzafame, Matteo, and A. F. Gravina. 2021. “Finance, Globalisation, Technology, and Inequality: Do Nonlinearities Matter?” <em>Economic Modelling</em> 96: 96–110.</p><p>Lanzafame, Matteo, and J. Felipe. 2020. “The PRC’s Long-Run Growth through the Lens of the Export-Led Growth Model.” <em>Journal of Comparative Economics</em> 48: 163–181.</p><p>Lanzafame, Matteo, G. Estrada, and J. Felipe. 2019. “Is Indonesia’s Growth Rate Balance-of-Payments-Constrained? A Time-Varying Estimation Approach.” <em>Review of Keynesian Economics</em> 7: 537–553.</p><p>Lanzafame, Matteo. 2016. “Potential Growth in Asia and Its Determinants: An Empirical Investigation.” <em>Asian Development Review</em> 33: 1–27.</p><p>Lanzafame, Matteo, C. Dacuycuy, and J. Felipe. 2016. “The Declining Share of Agricultural Employment in the People’s Republic of China: How Fast?” <em>Structural Change and Economic Dynamics</em> 37: 127–137.</p><p>Lanzafame, Matteo. 2016. “Inflation Targeting and Interest Rates: A Panel Time-Series Approach.” <em>Oxford Economic Papers</em> 68: 484–505.</p><p>Lanzafame, Matteo. 2014. “The Balance of Payments Constrained Growth Rate and the Natural Rate of Growth: New Empirical Evidence.” <em>Cambridge Journal of Economics</em> 38: 817–838.</p>"
16,Melanie Grace A. Quintos,Economics Officer,Macroeconomics Research Division,,Public economics; Macroeconomics and monetary economics,images/people/Melanie-Grace-A.-Quintos.webp,"I contribute to the Asian Development Outlook, supporting the publication through data analysis, research, and policy insights. I have also worked on the Asia‑Pacific Climate Report and on technical assistance related to Nowcasting and Disasters: Impact‑Based Forecasting and Socioeconomic Monitoring. Prior to joining the Asian Development Bank, I spent 11 years at the Department of Economy, Planning, and Development of the Philippines, where I specialized in macroeconomic analysis and policy development. I hold a master’s degree in Public Economics from Hitotsubashi University in Japan.","<p>MA in Public Economics, Hitotsubashi University, Tokyo, Japan</p><p>BS Economics, University of the Philippines Diliman, , </p>",0
17,Mengxi Xie,Economist,Economic Analysis and Operational Support Division,https://sites.google.com/view/mengxi-xie,Development economics; Environmental and ecological economics; Industrial organization,images/people/Mengxi-Xie.webp,"Mengxi Xie is an Economist in the Economic Research and Development Impact Department at the Asian Development Bank. Her research focuses on environmental and climate economics, innovation and growth, and industrial organization, with recent work on carbon border adjustment, pollution disclosure, and AI technology diffusion in developing Asia. She holds a Ph.D. in Business Economics from KU Leuven and master's and bachelor's degrees from Tsinghua University. Before joining ADB, she contributed to research at the International Monetary Fund, the United Nations Industrial Development Organization, and China's Development Research Center.","<p>Ph.D. in Business Economics, Katholieke Universiteit Leuven (KU Leuven), , </p><p>M.Sc. in Public Policy and Management, Tsinghua University, , </p><p>B.A. in International Politics, Tsinghua University, , </p>","<p>Xie, M., and S. Rousseau. 2024. “Policy Solutions for Addressing Carbon Leakage: Insights from Meta-Regression Analysis.” <em>Journal of Environmental Management</em> 365: 121557.</p>"
18,Neil Foster-McGregor,Principal Economist,Regional Cooperation and Integration Division,https://nfostermcgregor.com/,Development economics; International economics; Quantitative analysis,images/people/Neil-Foster-McGregor.webp,"I am an economist specializing in international trade, global value chains, innovation, structural change, and economic development. With more than 25 years of experience across academia and international organizations, I am currently Principal Economist at the Asian Development Bank. My research focuses on the intersection of trade, technology, structural tranformation, and sustainable development, with extensive work on productivity, technological upgrading, and global production networks. I have published widely in economics journals and led major policy reports for institutions including the Asian Development Bank, UNIDO, UN-ECLAC, and UNU-MERIT, contributing evidence-based analysis to development and trade policy debates globally.",,
19,Patrick Jaime A. Simba,Economics Analyst (Data Management),Macroeconomics Research Division,https://www.linkedin.com/in/patrick-jaime-simba/,Data science; Statistics; Quantitative analysis,images/people/Patrick-Jaime-A.-Simba.webp,"Patrick Jaime A. Simba is an Economics Analyst in the Macroeconomic Research (ERMR) division of the Asian Development Bank. His work focuses on macroeconomic monitoring, applied economic research, and statistical analysis, with contributions to flagship publications such as the Asian Development Outlook and country studies. He has a strong background in data science, specializing in machine learning engineering and natural language processing (NLP) models, and supports analytical work through large‑scale data management, automation, and the development of data‑driven tools and dashboards.","<p>Bachelor of Science in Quantitative Economics and Econometrics (Minor in Management), University of Minnesota – Twin Cities, College of Liberal Arts, Minneapolis, Minnesota, United States</p>","<p>Pundit, Madhavi, Arief Ramayandi, Patrick Jaime A. Simba, Dennis Sorino, and Sharyl Rose Tan. 2025. “<a href=""https://doi.org/10.2139/ssrn.5118493"">Monitoring Business Cycle Fluctuations in Asia</a>.” <em>ADB Economics Working Paper Series</em> 766.</p>"
20,Rhea M. Molato,Economics Officer,Office of the Chief Economist and Director General,https://scholar.google.com/citations?user=V2wKhDUAAAAJ&hl=en,"Public economics; Labor and demographic economics; Health, education, and welfare",images/people/Rhea-M.-Molato.webp,"Rhea Molato-Gayares is an Economics Officer at the Economic Research and Development Impact Department of ADB. She conducts policy-oriented research on labor, education, poverty, and social protection. She works with governments in formulating and implementing policy research. She holds a Ph.D. in Public Economics from the Ludwig-Maximilians-University of Munich and an M.A. in Economics from the University of the Philippines. She has published journal articles, working papers, policy reports, and policy briefs on various topics in development economics. Her work has been cited by media and served as input into ADB’s operations and governments’ policies.","<p>Ph.D. Public Economics, Ludwig-Maximilians-University of Munich, Germany</p><p>M.A. Economics, University of the Philippines, Philippines</p><p>B.S. Business Economics, University of the Philippines, Philippines</p>","<p>Molato-Gayares, Rhea, Stella Quimbo, Aleli Kraft, Carlos Antonio Tan Jr., and Joseph Capuno. 2019. “How Do the Intended and Unintended Beneficiaries Respond to the Philippines’ Conditional Cash Transfer Program?” <em>Review of Development Economics</em> 25 (3): 1267–1292.</p><p>Molato-Gayares, Rhea, Nina Ashley Dela Cruz, Ann Jillian Adona, and Albert Park. 2025. “Learning Loss and Recovery from the COVID-19 Pandemic: A Systematic Review of Evidence.” <em>International Journal of Educational Development</em> 115.</p><p>Molato-Gayares, Rhea, and Rana Hasan. 2019. “Wages over the Course of Structural Transformation: Evidence from India.” <em>Asian Development Review</em> 36 (2): 131–158.</p><p>Molato-Gayares, Rhea. 2019. “Public Debt and the Threat of Secession.” <em>The Philippine Review of Economics</em> LVI (1–2).</p><p>Molato-Gayares, Rhea, Jiaying Chen, Albert Park, and Dominique-Paul Tan. 2026. “Long-Term Outcomes of Multi-Context Childhood Poverty: Evidence from Long Panel Data from Indonesia.” ADB Economics Working Paper Series no. 833.</p><p>Molato-Gayares, Rhea, Emilie Berkhout, Sandy Maulana, Albert Park, and Daniel Suryadarma. 2025. “Lead Exposure and Cognitive Skills in a Developing Country: Evidence from Toxic Sites in Indonesia.” ADB Economics Working Paper Series no. 774.</p><p>Molato-Gayares, Rhea, Nina Ashley Dela Cruz, Ann Jillian Adona, and Albert Park. 2024. “Learning Loss and Recovery from the COVID-19 Pandemic: A Systematic Review of Evidence.” ADB Economics Working Paper Series no. 717.</p><p>Molato-Gayares, Rhea. 2015. “The Economic Cost of Secessionist Conflict in the Philippines.” Max Planck Institute for Tax Law and Public Finance Working Paper no. 2015-5.</p><p>Molato-Gayares, Rhea. 2015. “Public-Private Wage Differentials and the Quality of Government Workers in the Philippines.” Max Planck Institute for Tax Law and Public Finance Working Paper no. 2015-6.</p><p>Molato-Gayares, Rhea. 2015. “Public Debt and the Threat of Secession.” Max Planck Institute for Tax Law and Public Finance Working Paper no. 2015-4.</p>"
21,Roshen Fernando,Economist,Macroeconomics Research Division,https://roshenfernando.com,Development economics; Macroeconomics and monetary economics; Quantitative analysis,images/people/Roshen-Fernando.webp,"My work examines the economic implications of development challenges and related policies. I use economic models to devise policy options that address these development challenges. Before joining ADB, I worked as a consultant with the World Bank, where I co-developed economic models to assess the impact pathways of climate transition policies to inform advisory and analytical products. I obtained a PhD in economics from the Australian National University, with research focused on the economic effects of COVID-19, climate change, and antimicrobial resistance.","<p>PhD in Economics, Crawford School of Public Policy, The Australian National University, , Australia</p><p>Master of International and Development Economics (Commendation), Crawford School of Public Policy, The Australian National University, , Australia</p><p>Master of Financial Economics, Faculty of Arts, University of Colombo, , Sri Lanka</p><p>Master of Business Administration, Claude Littner Business School, University of West London, , United Kingdom</p><p>Bachelor (Honours) of Chemical and Process Engineering, Faculty of Engineering, University of Moratuwa, , Sri Lanka</p>","<p>McKibbin, Warwick, and Roshen Fernando. 2023. “The Global Economic Impacts of the COVID-19 Pandemic.” <em>Economic Modelling</em> 129: 1–18.</p><p>McKibbin, Warwick, and Roshen Fernando. 2021. “The Global Macroeconomic Impacts of COVID-19: Seven Scenarios.” <em>Asian Economic Papers</em> 19(4): 1–26.</p><p>Fernando, Roshen. 2020. “Global Impact of the Loss of Confidence in Asian Emerging Markets.” <em>The World Economy</em> 43(7): 1907–27.</p><p>Fernando, Roshen, and S. P. Premaratne. 2018. “Price Elasticity of Demand for Pipe-Borne Water: A Prerequisite for Solving the Water Problem in Colombo City.” <em>OUSL Journal</em> 13(1): 43–63.</p><p>McKibbin, Warwick, and Roshen Fernando. 2021. “Macroeconomic Policy Adjustments due to COVID-19: Scenarios to 2025 with a Focus on Asia.” In <em>COVID-19 Impacts and Policy Options: An Asian Perspective</em>, edited by J. Beirne, P. J. Morgan, and T. Sonobe, 423–72. Asian Development Bank Institute.</p><p>McKibbin, Warwick, and Roshen Fernando. 2020. “The Economic Impact of COVID-19.” In <em>Economics in the Time of COVID-19</em>, edited by R. Baldwin and B. W. di Mauro, 45–52. Centre for Economic Policy Research Press.</p><p>Premaratne, S. P., N. Ravinthirakumaran, and Roshen Fernando. 2019. <em>Production Theory</em>. Colombo: Kumaran Book House.</p><p>Fernando, Roshen, and Warwick McKibbin. 2024. “Global Economic Impacts of Antimicrobial Resistance.” Centre for Applied Macroeconomic Analysis Working Paper 41/2024. Canberra: Centre for Applied Macroeconomic Analysis; also published as Centre for Economic Policy Research Discussion Paper DP19138.</p><p>Fernando, Roshen. 2024. “Impact of Physical Climate Risks on Financial Assets.” Centre for Applied Macroeconomic Analysis Working Paper 38/2024. Canberra: Centre for Applied Macroeconomic Analysis.</p><p>Fernando, Roshen. 2024. “Global Economic Impacts of the Physical Climate Risks on Agriculture and Energy.” Centre for Applied Macroeconomic Analysis Working Paper 37/2024. Centre for Applied Macroeconomic Analysis.</p>"
22,Shigehiro Shinozaki,Senior Economist,Regional Cooperation and Integration Division,ORCID: https://orcid.org/0009-0008-0545-7321; LinkedIn: www.linkedin.com/in/shigehiro-shinozaki-a6506b96; Google Scholar: https://scholar.google.com/citations?hl=en&user=4fg3gx4AAAAJ,Development economics; Financial economics; Quantitative analysis,images/people/Shigehiro-Shinozaki.webp,"Shigehiro is a Senior Economist at the Economic Research and Development Impact Department (ERDI) of the Asian Development Bank (ADB). He supports ADB’s developing member countries in designing small and medium-sized enterprise (SME) development policies through various technical assistance projects. His research expertise includes SME development and inclusive finance in developing Asia. Prior to joining ADB, he held several expert positions at Japan’s Ministry of Finance, Organisation for Economic Co-operation and Development (OECD) in France, and as Japan International Cooperation Agency (JICA) expert on capital market development in Indonesia. He holds PhD in International Studies from Waseda University in Japan.","<p>Doctor of Philosophy in International Studies, Waseda University, Tokyo, Japan.</p><p>Master of Business Administration, ENPC School of International Management, École Nationale des Ponts et Chaussées, Paris, France.</p><p>Bachelor of Arts (Economics), Hosei University, Tokyo, Japan.</p>","<p>Asian Development Bank Institute (ADBI). 2025. <em><a href=""https://doi.org/10.56506/BQKT2599"">Strengthening the Ecosystem of Vibrant MSMEs for Resilient Growth in Asia and the Pacific</a></em>. Edited by Shigehiro Shinozaki, Peter J. Morgan, and Yasuyuki Sawada.</p><p>Oikawa, K., F. Iwasaki, Y. Sawada, and S. Shinozaki. 2025. “Unintended Consequences of Business Digitalization Among MSMEs During the COVID-19 Pandemic: The Case of the Philippines.” In <em>Strengthening the Ecosystem of Vibrant MSMEs for Resilient Growth in Asia and the Pacific</em>, 1–28.</p><p>Shinozaki, S., and D. Miyakawa. 2025. “Designing a Country’s SME Development Index Using Firm-Level Data: The Case of Thailand.” In <em>Strengthening the Ecosystem of Vibrant MSMEs for Resilient Growth in Asia and the Pacific</em>, 278–345.</p><p>Shinozaki, S. 2022. “<a href=""https://doi.org/10.56506/DYRX6960"">Informal Micro, Small, and Medium-Sized Enterprises and Digitalization: Challenges and Policy Actions in Indonesia</a>.” In <em>Informal Services in Asian Cities: Lessons for Urban Planning and Management from the COVID-19 Pandemic</em>, edited by Ashok Das and Bambang Susantono, 253–312. Tokyo and Manila: Asian Development Bank Institute and Asian Development Bank.</p><p>Shinozaki, S., and L. N. Rao. 2021. “Impacts of COVID-19 on Micro, Small, and Medium-Sized Enterprises under Lockdown: Evidence from a Rapid Survey in the Philippines.” In <em>COVID-19 Impacts and Policy Options—An Asian Perspective</em>, edited by John Beirne, Peter J. Morgan, and Tetsushi Sonobe, 140–187.</p><p>Shinozaki, S. 2021. “Chapter II—Before: The Trends and the Challenges.” In <em>Rethinking MSME Finance in Asia and the Pacific: A Post-Crisis Policy Agenda</em>, 18–53. United Nations Economic and Social Commission for Asia and the Pacific.</p><p>Park, C.-Y., and S. Shinozaki. 2020. “<a href=""https://doi.org/10.22617/TCS200287-2"">Micro, Small, and Medium-Sized Enterprises: Policy Measures for COVID-19</a>.” In <em>Navigating COVID-19 in Asia and the Pacific</em>, edited by Bambang Susantono, Yasuyuki Sawada, and Cyn-Young Park, 73–77.</p><p>Shinozaki, S. 2020a. “<a href=""https://doi.org/10.22617/TCS200234-2"">The COVID-19 Impact on Micro, Small, and Medium-Sized Enterprises: Evidence from Rapid Surveys in Indonesia, the Lao People’s Democratic Republic, the Philippines, and Thailand</a>.” In <em>Navigating COVID-19 in Asia and the Pacific</em>, edited by Bambang Susantono, Yasuyuki Sawada, and Cyn-Young Park, 78–87.</p><p>Shinozaki, S. 2020b. “<a href=""https://doi.org/10.22617/TCS200134-2"">Private Sector Development and Access to Finance</a>.” In <em>Uzbekistan—Quality Job Creation as a Cornerstone for Sustainable Economic Growth: Country Diagnostic Study</em>, edited by Kym Anderson, Edimon Ginting, and Kiyoshi Taniguchi, 136–177.</p><p>Shinozaki, S. 2015. “<a href=""https://doi.org/10.1142/9789814678810_0005"">A New Regime of SME Finance in Emerging Asia: Enhancing Access to Growth Capital and Policy Implications</a>.” In <em>Foreign Direct Investment and Small and Medium Enterprises—Productivity and Access to Finance</em>, edited by Khee Giap Tan and Kong Yam Tan, 77–103.</p>"
23,Takaaki Masaki,Senior Economist (Data Science),Data Division,https://takaakimasaki.github.io/,Quantitative analysis; Statistics; Development economics; Data science,images/people/Takaaki-Masaki.webp,"Takaaki Masaki is a Senior Economist (Data Science) in the Data Division of the Economic Research and Development Impact Department at ADB. His work focuses on leveraging GIS, big data, remote sensing, and machine learning to strengthen development statistics—particularly agricultural and rural statistics—and to advance high-resolution welfare and poverty mapping. Through these approaches, he supports spatial targeting to maximize development impact and evaluates the distributional implications of policy interventions. Prior to joining ADB, he worked as a Senior Economist at the World Bank, where he led a number of analytical projects using innovative data sources—such as satellite and remote-sensing data—to improve welfare and poverty measurement, enhance agricultural statistics, assess spatial inequalities, and inform evidence-based policy design in data-scarce environments.",,
24,Wenyin Cheng,Economist,Regional Cooperation and Integration Division,https://wenyincheng.org/,International economics; Development economics; Quantitative analysis,images/people/Wenyin-Cheng.webp,"Wenyin Cheng is an Economist of the Economic Research and Development Impact department. He specializes in global value chains, regional cooperation and integration, and innovation. His career spaned academia (Tsinghua University and IDE-JETRO), think tanks (Institute for Contemporary China Studies), and international organizations (OECD). His research has been published in peer-reviewed journals, including Technovation, Technological Forecasting and Social Change, China Economic Review, Industrial and Corporate Change, etc. Additionally, he serves as an editorial board member for a few journals. He holds a Ph.D. from Tsinghua University, including one year in a joint PhD program at Columbia University.","<p>PhD in Management (Innovation Economics), Tsinghua University, , China</p><p>Master of Economics (Labor Economics), Chinese Academy of Social Sciences, , China</p><p>Bachelor of Economics (Finance), Jilin University, , China</p>","<p>Cheng, W., Z. Li, J. Chen, and M. Ye. 2025. “Smile Curve of Technological Learning: A Case Study of Nuclear Power Reactor Technology in China.” <em>Industrial and Corporate Change</em>, dtaf013.</p><p>Cheng, W., S. Liu, B. Meng, and Y. Gao. 2025. “Impact of Countercyclical Fiscal Policy on Total Factor Productivity in State-Owned Enterprises: A Corporate Governance Perspective.” <em>Economic Analysis and Policy</em> 85: 1916–1930.</p><p>Cheng, W., B. Meng, Y. Gao, and D. Dollar. 2024. “The Paradox of Decelerated Technology Importation and Accelerated Innovation in China: Insights from National Technology Development Zones.” <em>China Economic Review</em> 88 (December): 102303.</p><p>Cheng, W., X. Ouyang, A. Yu, Z. Shen, and M. Vardanyan. 2024. “Subjective Perceptions versus Objective Outcomes: Assessing the Impact of Smart City Pilots on Environmental Quality in China.” <em>Technological Forecasting and Social Change</em> 209: 123799.</p><p>Wang, D., M. Sun, B. Meng, Y. An, W. Cheng, and B. Ye. 2024. “Can Carbon Market Efficiency Promote Green Technology Innovation for Chinese Companies?” <em>Energy</em> 309: 133157.</p><p>Cheng, W., Z. Li, and J. Chen. 2024. “Chinese Innovation Modernization and Self-Reliance in Science and Technology: Perspective of Autonomous Introduction.” <em>China Soft Science</em> (11): 12–22.</p><p>Cheng, W., Z. Li, J. Chen, B. Yang, and Y. Liu. 2024. “The Developmental Logic of China’s Patent Policy: Goal Orientation, Practical Outcomes, and Avenues for Improvement.” <em>Development Research</em> (5): 38–44.</p><p>Xie, Y., P. Zhang, Z. Yang, and W. Cheng. 2023. “Redistributive Capacity and International Trade: A Cross-Country Analysis.” <em>Global Economic Review</em> 52(2): 167–186.</p><p>Zhao, Q., Q. Luo, L. Wang, and W. Cheng. 2023. “Are Inventors Better CEOs? Evidence from China.” <em>Review of Economic Assessment</em> 2(1): 1–25.</p><p>Wang, L., Q. Zhao, and W. Cheng. 2023. “Political Promotion and Manufacturing Firm Productivity: Evidence from Chinese Firms.” <em>Review of Economic Assessment</em> 2(2): 1–16.</p>"
25,Yi Jiang,Director,Economic Analysis and Operational Support Division,https://scholar.google.com/citations?hl=en&user=BRWPjU4AAAAJ,Environmental and ecological economics; Infrastructure sectors,images/people/Jiang-Yi.webp,"Yi Jiang is an economist and Director in the Economic Analysis and Operational Support Division of the Asian Development Bank’s Economic Research and Development Impact Department. His current research focuses on urban infrastructure and its broader economic impacts, as well as urban development and climate change. His work has been published in journals such as Economic Development and Cultural Change, Journal of Development Economics, World Bank Economic Review, and World Development. He previously worked in ADB’s East Asia Department from 2011 to 2015 on lending and policy advisory projects in the agriculture, natural resources, and environment sectors.","<p>Ph.D. in Economics, University of Maryland, College Park, USA</p><p>M.A. in Statistics, University of Missouri-Columbia, USA</p><p>B.A. in Economics and Finance, Zhejiang University, China</p>","<p>Jiang, Yi, Taylor Lathrop, Alexander D. Rothenberg, and Yao Wang. 2026. “Urban Sprawl and Residential Carbon Emissions: Evidence from Indonesia and the Philippines.” <em>CPR Working Paper</em> No. 281. Syracuse.</p><p>Jiang, Yi, Alexander D. Rothenberg, Radine Rafols, and Yao Wang. 2025. “A Capital Idea? The Welfare Effects of Relocating Indonesia’s Government to a New City.” <em>CPR Working Paper</em> No. 278. Syracuse.</p><p>Jiang, Yi, and Eiji Yamada. 2025. “The Impact of Dhaka Mass Rapid Transit on Road Congestion.” <em>JICA Ogata Research Institute Discussion Paper</em> No. 35.</p><p>Jiang, Yi, John Gibson, Albert Park, Xiaoxuan Zhang, and Xi Li. 2023. “Remotely Measuring Rural Economic Activity and Poverty: Do We Just Need Better Sensors?” <em>Center for Economic Institutions, Hitotsubashi University Working Paper</em> No. 2023-08.</p><p>Jiang, Yi, and Jade Laranjo. 2024. “Metropolitan Areas Delineation and Resilience under Public Health Crisis: Evidence from the Philippines.” <em>ADB Economics Working Paper Series</em> No. 736.</p><p>Jiang, Yi, Liming Chen, Rana Hasan, and Andrii Parkhomenko. 2024. “Faster, Taller, Better: Transit Improvements and Land Use Policies.” <em>Journal of Development Economics</em> 171: 103322.</p><p>Jiang, Yi, John Gibson, Xiaoxuan Zhang, and Geua Boe-Gibson. 2024. “<a href=""https://doi.org/10.1007/s41885-024-00152-6"">Are Disaster Impact Estimates Distorted by Errors in Popular Night-Time Lights Data?</a>” <em>Economics of Disasters and Climate Change</em>.</p><p>Jiang, Yi, John Gibson, and Bambang Susantono. 2023. “Revisiting the Role of Secondary Towns: How Different Types of Urban Growth Related to Poverty in Indonesia.” <em>World Development</em> 169: 106281.</p><p>Jiang, Yi, Milan Thomas, and Jade Laranjo. 2022. “COVID-19 Lockdown Policy and Urban Mobility in the Philippines.” <em>PLOS ONE</em> 17 (6): e0270555.</p><p>Jiang, Yi, Renz Adrian T. Calub, and Xiaoting Zheng. 2022. “Water Tariff Setting and Its Welfare Implications: Evidence from Chinese Cities.” <em>Water Resources and Economics</em> 38: p100199.</p>"